Input.file,Event.Number,Species.Code,Call,UTC,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824191158.wav,3/7/2023 14:46,Bm,A NE Pacific,8/24/2021 19:15:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\ADRIFT_001_500Hz_5s_1Hz.ltsa,3/7/2023 14:46,Bm,B NE Pacific,8/24/2021 19:14:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824201158.wav,3/7/2023 14:47,Bm,B NE Pacific,8/24/2021 20:15:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824201158.wav,3/7/2023 14:47,Bm,A NE Pacific,8/24/2021 20:14:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824211158.wav,3/7/2023 14:48,Bm,A NE Pacific,8/24/2021 21:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824211158.wav,3/7/2023 14:48,Bm,B NE Pacific,8/24/2021 21:14:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824221158.wav,3/7/2023 14:48,Bm,B NE Pacific,8/24/2021 22:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824232358.wav,3/7/2023 14:49,Bm,A NE Pacific,8/24/2021 23:24:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824232358.wav,3/7/2023 14:49,Bm,B NE Pacific,8/24/2021 23:24:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825001158.wav,3/7/2023 14:55,Bm,B NE Pacific,8/25/2021 0:14:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825001158.wav,3/7/2023 14:55,Bm,A NE Pacific,8/25/2021 0:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825001158.wav,3/7/2023 14:57,Bm,D,8/25/2021 0:15:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825011158.wav,3/7/2023 15:07,Bm,A NE Pacific,8/25/2021 1:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825011158.wav,3/7/2023 15:07,Bm,B NE Pacific,8/25/2021 1:14:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825011158.wav,3/7/2023 15:07,Bm,D,8/25/2021 1:14:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825021158.wav,3/7/2023 15:08,Bm,A NE Pacific,8/25/2021 2:12:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825021158.wav,3/7/2023 15:08,Bm,B NE Pacific,8/25/2021 2:12:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\ADRIFT_001_500Hz_5s_1Hz.ltsa,3/7/2023 15:09,Bm,A NE Pacific,8/25/2021 3:16:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\ADRIFT_001_500Hz_5s_1Hz.ltsa,3/7/2023 15:09,Bm,B NE Pacific,8/25/2021 3:17:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825041158.wav,3/7/2023 15:10,Bm,A NE Pacific,8/25/2021 4:14:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825041158.wav,3/7/2023 15:10,Bm,B NE Pacific,8/25/2021 4:15:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825041158.wav,3/7/2023 15:11,Bm,D,8/25/2021 4:14:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825051158.wav,3/7/2023 15:13,Bm,B NE Pacific,8/25/2021 5:15:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825051158.wav,3/7/2023 15:13,Bm,A NE Pacific,8/25/2021 5:14:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825051158.wav,3/7/2023 15:14,Bm,D,8/25/2021 5:13:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825061158.wav,3/9/2023 8:45,Bm,A NE Pacific,8/25/2021 6:12:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825061158.wav,3/9/2023 8:45,Bm,B NE Pacific,8/25/2021 6:12:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825065958.wav,3/9/2023 8:45,Bm,B NE Pacific,8/25/2021 7:02:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825065958.wav,3/9/2023 8:45,Bm,A NE Pacific,8/25/2021 7:03:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825081158.wav,3/9/2023 8:46,Bm,A NE Pacific,8/25/2021 8:12:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825081158.wav,3/9/2023 8:47,Bm,B NE Pacific,8/25/2021 8:15:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825091158.wav,3/9/2023 8:58,Bm,A NE Pacific,8/25/2021 9:13:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825101158.wav,3/9/2023 8:59,Bm,A NE Pacific,8/25/2021 10:15:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825102358.wav,3/9/2023 9:00,Bm,B NE Pacific,8/25/2021 10:25:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825111158.wav,3/9/2023 9:01,Bm,A NE Pacific,8/25/2021 11:14:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825111158.wav,3/9/2023 9:01,Bm,B NE Pacific,8/25/2021 11:14:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825124758.wav,3/9/2023 9:02,Bm,B NE Pacific,8/25/2021 12:51:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825124758.wav,3/9/2023 9:02,Bm,A NE Pacific,8/25/2021 12:51:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\ADRIFT_001_500Hz_5s_1Hz.ltsa,3/9/2023 9:03,Bm,B NE Pacific,8/25/2021 13:28:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825141158.wav,3/9/2023 14:24,Bm,B NE Pacific,8/25/2021 14:15:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\ADRIFT_001_500Hz_5s_1Hz.ltsa,3/9/2023 14:24,Bm,A NE Pacific,8/25/2021 14:28:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825151158.wav,3/9/2023 14:29,Bm,B NE Pacific,8/25/2021 15:12:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825161158.wav,3/9/2023 14:30,Bm,D,8/25/2021 16:14:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825162358.wav,3/9/2023 14:30,Bm,A NE Pacific,8/25/2021 16:24:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825162358.wav,3/9/2023 14:30,Bm,B NE Pacific,8/25/2021 16:25:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825172358.wav,3/9/2023 14:30,Bm,B NE Pacific,8/25/2021 17:25:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825174758.wav,3/9/2023 14:31,Bm,A NE Pacific,8/25/2021 17:50:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825183558.wav,3/9/2023 14:32,Bm,B NE Pacific,8/25/2021 18:39:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825184758.wav,3/9/2023 14:32,Bm,A NE Pacific,8/25/2021 18:51:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825185958.wav,3/9/2023 14:32,Bm,B NE Pacific,8/25/2021 19:02:00,,,,,,,,2.G,,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825192358.wav,3/9/2023 14:33,Bm,A NE Pacific,8/25/2021 19:26:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825204758.wav,3/9/2023 14:34,Bm,D,8/25/2021 20:48:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825213558.wav,3/9/2023 14:34,Bm,A NE Pacific,8/25/2021 21:38:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825213558.wav,3/9/2023 14:35,Bm,B NE Pacific,8/25/2021 21:39:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825215958.wav,3/9/2023 14:35,Bm,B NE Pacific,8/25/2021 22:00:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825223558.wav,3/9/2023 14:36,Bm,A NE Pacific,8/25/2021 22:38:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825234758.wav,3/9/2023 14:36,Bm,A NE Pacific,8/25/2021 23:48:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825234758.wav,3/9/2023 14:37,Bm,B NE Pacific,8/25/2021 23:49:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210825234758.wav,3/9/2023 14:37,Bm,D,8/25/2021 23:48:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210826001158.wav,3/9/2023 14:39,Bm,A NE Pacific,8/26/2021 0:12:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210826001158.wav,3/9/2023 14:39,Bm,B NE Pacific,8/26/2021 0:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210826011158.wav,3/9/2023 14:39,Bm,B NE Pacific,8/26/2021 1:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210826011158.wav,3/9/2023 14:40,Bm,A NE Pacific,8/26/2021 1:12:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210826021158.wav,3/9/2023 14:42,Bm,A NE Pacific,8/26/2021 2:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210826021158.wav,3/9/2023 14:42,Bm,B NE Pacific,8/26/2021 2:12:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210826034758.wav,3/9/2023 14:43,Bm,B NE Pacific,8/26/2021 3:49:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\ADRIFT_001_500Hz_5s_1Hz.ltsa,3/9/2023 14:43,Bm,A NE Pacific,8/26/2021 3:39:00,,,,,,,,"1,G",,
