Input.file,Event.Number,Species.Code,Call,Start.time,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928215942.wav,4/24/2023 14:19,Bm,A NE Pacific,9/28/2022 22:14:05,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928224442.wav,4/24/2023 14:21,Bm,A NE Pacific,9/28/2022 23:02:42,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928224442.wav,4/24/2023 14:21,Bm,B NE Pacific,9/28/2022 23:03:02,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929001441.wav,4/24/2023 14:21,Bm,B NE Pacific,9/29/2022 0:26:04,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929001441.wav,4/24/2023 14:21,Bm,A NE Pacific,9/29/2022 0:26:43,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929005941.wav,4/24/2023 14:26,Bm,A NE Pacific,9/29/2022 1:03:51,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929005941.wav,4/24/2023 14:26,Bm,B NE Pacific,9/29/2022 1:04:02,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929014441.wav,4/24/2023 14:26,Bm,A NE Pacific,9/29/2022 2:02:39,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929014441.wav,4/24/2023 14:26,Bm,B NE Pacific,9/29/2022 2:03:22,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929025211.wav,4/24/2023 14:30,Bm,A NE Pacific,9/29/2022 3:05:05,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929025211.wav,4/24/2023 14:30,Bm,B NE Pacific,9/29/2022 3:05:42,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929035942.wav,4/24/2023 14:31,Bm,B NE Pacific,9/29/2022 4:03:16,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929035942.wav,4/24/2023 14:31,Bm,A NE Pacific,9/29/2022 4:02:29,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929044442.wav,4/24/2023 14:31,Bm,A NE Pacific,9/29/2022 5:05:26,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929044442.wav,4/24/2023 14:31,Bm,B NE Pacific,9/29/2022 5:06:10,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929055211.wav,4/24/2023 14:32,Bm,B NE Pacific,9/29/2022 6:04:04,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929055211.wav,4/24/2023 14:32,Bm,A NE Pacific,9/29/2022 6:03:42,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929065941.wav,4/24/2023 14:32,Bm,A NE Pacific,9/29/2022 7:12:08,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929065941.wav,4/24/2023 14:32,Bm,B NE Pacific,9/29/2022 7:11:53,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929074441.wav,4/24/2023 14:33,Bm,B NE Pacific,9/29/2022 8:02:33,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
