,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
145,145,Spectrogram 1,1,375078.3883,375149.4476,71.121,562.5,3/16/23 5:11,5,HmpSng,NA
146,146,Spectrogram 1,1,378367.0748,378402.9222,200.431,549.569,3/16/23 6:05,6,Hmp,NA
147,147,Spectrogram 1,1,378985.8373,379081.939,109.914,601.293,3/16/23 6:16,6,HmpSng,NA
148,148,Spectrogram 1,1,381723.0577,381834.0322,64.655,956.897,3/16/23 7:01,7,HmpSng,NA
149,149,Spectrogram 1,1,381893.4474,382006.7101,25.862,717.672,3/16/23 7:04,7,HmpSng,NA
150,150,Spectrogram 1,1,383093.5491,383145.5406,193.966,782.328,3/16/23 7:24,7,HmpSng,NA
151,151,Spectrogram 1,1,385613.2186,385729.9135,38.793,1053.879,3/16/23 8:06,8,HmpSng,NA
152,152,Spectrogram 1,1,387710.8286,387831.9726,122.845,633.621,3/16/23 8:41,8,HmpSng,NA
153,153,Spectrogram 1,1,389209.7608,389298.3624,77.586,601.293,3/16/23 9:06,9,HmpSng,NA
154,154,Spectrogram 1,1,392838.0828,392866.8116,135.776,795.259,3/16/23 10:07,10,Hmp,NA
155,155,Spectrogram 1,1,395119.2269,395157.7439,129.31,762.931,3/16/23 10:45,10,HmpSng,NA
156,156,Spectrogram 1,1,395611.3286,395689.2523,148.707,459.052,3/16/23 10:53,10,Hmp,NA
157,157,Spectrogram 1,1,397006.7354,397075.7608,90.517,989.224,3/16/23 11:16,11,HmpSng,NA
158,158,Spectrogram 1,1,397764.6167,397851.9471,239.224,698.276,3/16/23 11:29,11,HmpSng,NA
159,159,Spectrogram 1,1,400371.2353,400426.659,103.448,646.552,3/16/23 12:12,12,Hmp,NA
160,160,Spectrogram 1,1,400880.2438,400962.6166,193.966,646.552,3/16/23 12:21,12,Hmp,NA
161,161,Spectrogram 1,1,401605.2014,401687.9556,19.397,588.362,3/16/23 12:33,12,HmpSng,NA
162,162,Spectrogram 1,1,401837.3708,401925.7182,232.759,1247.845,3/16/23 12:37,12,HmpSng,NA
163,163,Spectrogram 1,1,408406.5319,408511.2776,84.052,484.914,3/16/23 14:26,14,HmpSng,NA
164,164,Spectrogram 1,1,409106.0149,409225.8877,103.448,601.293,3/16/23 14:38,14,Hmp,NA
165,165,Spectrogram 1,1,409713.7183,409867.9131,96.983,750,3/16/23 14:48,14,HmpSng,NA
166,166,Spectrogram 1,1,413653.9005,413724.5784,187.5,1170.259,3/16/23 15:54,15,Hmp,NA
167,167,Spectrogram 1,1,414019.8495,414113.5359,174.569,1092.672,3/16/23 16:00,16,HmpSng,NA
168,168,Spectrogram 1,1,415293.6038,415396.0613,206.897,549.569,3/16/23 16:21,16,HmpSng,NA
169,169,Spectrogram 1,1,418124.5104,418161.5019,226.293,653.017,3/16/23 17:08,17,Hmp,NA
170,170,Spectrogram 1,1,420321.8325,420384.6291,109.914,782.328,3/16/23 17:45,17,Hmp,NA
171,171,Spectrogram 1,1,422122.646,422200.4426,0,769.397,3/16/23 18:15,18,HmpSng,NA
172,172,Spectrogram 1,1,423423.3494,423483.985,206.897,730.603,3/16/23 18:36,18,HmpSng,NA
173,173,Spectrogram 1,1,423561.9596,423614.0782,109.914,879.31,3/16/23 18:39,18,HmpSng,NA
174,174,Spectrogram 1,1,424981.824,425101.3154,58.19,969.828,3/16/23 19:02,19,HmpSng,NA
